municipio;estado;codigo;Total_Alunos;Relacao_cadastrados;Casos_per_capita;Mortes_per_capita;Relacao_casos_mes;Relacao_obitos_mes;Diferenca_aprovacao;Diferenca_reprovacao;Diferenca_desistencia;diferenca
Petrolândia;Santa Catarina;4212700.0;17.0;0.0028633990230756273;0.0276233788108472;0.0005053057099545;0.0060636685194542;0.000336870473303;-7.299999999999997;7.3;0.0;23.981900452488684
Rubinéia;São Paulo;3544509.0;7.0;0.0022236340533672173;0.0371664548919949;0.0006353240152477;0.008259212198221;0.0;2.4000000000000057;-2.4;0.0;40.17857142857143
Nova América;Goiás;5214705.0;14.0;0.005952380952380952;0.0280612244897959;0.0004251700680272;0.0029761904761904;0.0;0.0;0.0;0.0;56.5934065934066
Santo Antônio do Itambé;Minas Gerais;3160207.0;9.0;0.002344971339239187;0.0099009900990099;0.0002605523710265;0.0031266284523189;0.0002605523710265;1.5999999999999943;0.0;-1.6;83.62573099415205
Porto Walter;Acre;1200393.0;30.0;0.0025037556334501754;0.0273743949257219;0.00016691704223;0.00016691704223;0.0;14.799999999999997;-5.2;-9.6;33.03030303030303
Riachuelo;Sergipe;2805901.0;88.0;0.00861646920591403;0.0405365710369137;0.0009791442279447;0.0005874865367668;0.0;13.0;-1.0;-12.0;65.46442687747034
Claraval;Minas Gerais;3116407.0;12.0;0.0024778030146603344;0.0189964897790625;0.000206483584555;0.0068139582903159;0.0;-13.299999999999997;-3.1;16.4;14.583333333333345
Francisco Ayres;Piauí;2204105.0;5.0;0.0011499540018399263;0.0229990800367985;0.0011499540018399;0.0004599816007359;0.0;-7.099999999999994;0.0;7.1;29.655172413793103
Cromínia;Goiás;5206503.0;27.0;0.00774526678141136;0.0364314400458978;0.0014343086632243;0.0051635111876075;0.0002868617326448;7.3999999999999915;0.0;-7.4;85.92592592592592
Mombuca;São Paulo;3530904.0;12.0;0.0034354423131978244;0.018894932722588;0.0002862868594331;0.0028628685943315;0.0;0.0;0.0;0.0;58.333333333333336
Delfinópolis;Minas Gerais;3121209.0;13.0;0.0018273826258082655;0.0111048636491425;0.0001405678942929;0.0061849873488895;0.0;9.599999999999994;-4.9;-4.699999999999999;26.15384615384616
Siderópolis;Santa Catarina;4217600.0;8.0;0.0005711429999286071;0.0557578353680302;0.0014278574998215;0.0058542157492682;0.0004283572499464;-4.0;7.8999999999999995;-3.9;32.870370370370374
Herculândia;São Paulo;3519006.0;4.0;0.000419903422212891;0.0139617887885786;0.0007348309888725;0.0030442998110434;0.0;4.099999999999994;-2.7;-1.4;46.42857142857143
